Indicator ID,Indicator Name,Parent Code,Parent Name,Area Code,Area Name,Area Type,Sex,Age,Category Type,Category,Time period,Value,Lower CI 95.0 limit,Upper CI 95.0 limit,Lower CI 99.8 limit,Upper CI 99.8 limit,Count,Denominator,Value note,Recent Trend,Compared to England value or percentiles,Compared to percentiles,Time period Sortable,New data,Compared to goal,Time period range
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000080,Greater Manchester ICB - 01D ,ICB sub-locations,Persons,All ages,,,2015 Q1,206.50279,,,,,46097,223227,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000085,Humber and North Yorkshire ICB - 03F ,ICB sub-locations,Persons,All ages,,,2015 Q1,171.12782,,,,,42643,249188,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000086,Suffolk and North East Essex ICB - 06L ,ICB sub-locations,Persons,All ages,,,2015 Q1,177.04175,,,,,70745,399595,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000089,Cornwall and The Isles Of Scilly ICB - 11N ,ICB sub-locations,Persons,All ages,,,2015 Q1,175.01591,,,,,89591,511902,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000091,Cheshire and Merseyside ICB - 01J ,ICB sub-locations,Persons,All ages,,,2015 Q1,189.89371,,,,,29015,152796,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000097,"Leicester, Leicestershire and Rutland ICB - 04C ",ICB sub-locations,Persons,All ages,,,2015 Q1,147.61659,,,,,54605,369911,Value for CCG based on the GPs belonging to the CCG since boundary change April 2019,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000101,Cheshire and Merseyside ICB - 99A ,ICB sub-locations,Persons,All ages,,,2015 Q1,175.24309,,,,,88312,503940,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000106,Mid and South Essex ICB - 06Q ,ICB sub-locations,Persons,All ages,,,2015 Q1,181.09854,,,,,67465,372532,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000117,Suffolk and North East Essex ICB - 06T ,ICB sub-locations,Persons,All ages,,,2015 Q1,196.9935,,,,,65090,330417,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000119,Humber and North Yorkshire ICB - 03H ,ICB sub-locations,Persons,All ages,,,2015 Q1,191.74718,,,,,31459,164065,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000122,Humber and North Yorkshire ICB - 03K ,ICB sub-locations,Persons,All ages,,,2015 Q1,179.97961,,,,,30889,171625,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000126,Staffordshire and Stoke-on-Trent ICB - 05G ,ICB sub-locations,Persons,All ages,,,2015 Q1,172.25758,,,,,37265,216333,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000127,North East and North Cumbria ICB - 99C ,ICB sub-locations,Persons,All ages,,,2015 Q1,197.04449,,,,,42709,216748,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000130,North East and North Cumbria ICB - 00L,ICB sub-locations,Persons,All ages,,,2015 Q1,193.02495,,,,,58657,303883,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000135,Greater Manchester ICB - 00Y ,ICB sub-locations,Persons,All ages,,,2015 Q1,194.87997,,,,,47928,245936,,,Not compared,Not compared,20150100,,,3m
92163,Total number of prescribed antibiotic items per 1000 registered patients by quarter,E92000001,England,E38000136,"Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q ",ICB sub-locations,Persons,All ages,,,2015 Q1,136.40472,,,,,92518,678261,,,Not compared,Not compared,20150100,,,3m
