Area Code,Area Name,Qty_Mean_Current,Quality_Mean_Current,Seasonality,Quantity_Trend,Cluster,PC1,PC2
E38000006,South Yorkshire ICB - 02P ,126.37508,5.2700000000000005,1.1568395557724007,-7.183323194808578,0,-1.158365922876305,1.1268820487976459
E38000007,Mid and South Essex ICB - 99E ,115.4992825,7.675000000000001,1.2672482472639002,-10.736861162014298,1,1.1561917157409627,-0.831091306851281
E38000008,Nottingham and Nottinghamshire ICB - 02Q ,133.8631925,6.8825,1.15323693031756,-10.075656135723127,0,-1.1480371611754183,0.8400562333635646
E38000014,Lancashire and South Cumbria ICB - 00Q ,119.965815,5.79,1.1681581218400257,-12.869690758682944,2,-1.6871769878748721,-0.5063571931681303
E38000015,Lancashire and South Cumbria ICB - 00R ,119.02161,8.585,1.1342434796914964,-12.737458795868342,2,-1.1749605229834852,-0.3915181762932622
E38000016,Greater Manchester ICB - 00T ,107.65132125,5.9625,1.210105096495746,-12.396732507397518,2,-0.7239045759721063,-1.2295310641453976
E38000021,Sussex ICB - 09D ,86.7454205,9.105,1.1609864578215645,-6.36851666375971,1,0.803395495297535,-0.7039192668403507
E38000024,Greater Manchester ICB - 00V ,95.7792135,5.5725,1.0928224869308003,-21.45159634252404,2,-4.376450309097637,-3.1468688309187183
E38000025,West Yorkshire ICB - 02T ,122.0999875,5.49,1.0726239617252007,-9.82511924216757,0,-2.960179706495291,0.7953646089863805
E38000028,Staffordshire and Stoke-on-Trent ICB - 04Y ,149.82414749999998,7.3625,1.2205924157796724,-8.177360489965825,3,0.4202954813953007,1.6506760484842613
E38000030,Mid and South Essex ICB - 99F ,139.774235,10.475,1.246188689881883,-10.204826785993754,3,1.7853074818969639,0.5187769862340221
E38000034,Lancashire and South Cumbria ICB - 00X ,127.281985,7.83,1.196976554830112,-9.410272240199106,3,0.13661422509996712,0.4111723615799967
E38000044,South Yorkshire ICB - 02X ,118.160235,5.9825,1.1771098160031717,-9.442159331168511,0,-0.8599062880677127,0.10833083073638539
E38000045,Dorset ICB - 11J ,123.3573325,8.035,1.1769623571139023,-8.964488888682249,0,-0.029333106798008372,0.42536212663253603
E38000049,Hertfordshire and West Essex ICB - 06K ,111.26411225,9.35,1.2278110444556167,-10.592872660703092,1,1.1673653650281355,-0.8205934487719404
E38000050,Lancashire and South Cumbria ICB - 01A ,112.8813525,5.995,1.1430784360537112,-12.44986000618808,2,-1.9235288914291218,-0.6227071437616539
E38000051,"Leicester, Leicestershire and Rutland ICB - 03W ",112.3658425,9.7875,1.2070111976523146,-7.309100837171159,3,1.526064625779215,0.06079977049713949
E38000052,Humber and North Yorkshire ICB - 02Y ,132.9374875,4.8100000000000005,1.1762817881437877,-4.723903104155543,0,-0.6230068176530833,1.887672127962921
E38000053,Staffordshire and Stoke-on-Trent ICB - 05D ,128.78426000000002,11.0525,1.169127023467669,-8.159219674428487,3,1.0922809351714668,0.8489438424148126
E38000062,Gloucestershire ICB - 11M ,111.970445,8.3825,1.1750125424026936,-8.2425962038383,1,0.27325097870518666,0.03851526179586743
E38000068,Cheshire and Merseyside ICB - 01F ,115.982475,6.4325,1.1480742197700842,-8.609816784834244,0,-1.0350541002377813,0.33654912798898706
E38000079,Hertfordshire and West Essex ICB - 06N ,105.6777925,9.4175,1.2258143516632665,-8.124410822871422,1,1.6189837347838876,-0.5372339659726266
E38000080,Greater Manchester ICB - 01D ,101.43331725000002,6.1675,1.172191986388813,-18.684567889110625,2,-2.33433734089011,-2.7105113581282176
E38000085,Humber and North Yorkshire ICB - 03F ,114.3700175,4.275,1.1632606633654738,-5.618494200535034,0,-1.0774030869175504,0.8760128647103937
E38000086,Suffolk and North East Essex ICB - 06L ,135.870385,8.8125,1.2046065225793448,-5.963689504568409,3,1.1745425295592966,1.5237207306390281
E38000089,Cornwall and The Isles Of Scilly ICB - 11N ,129.6522575,8.165,1.155269681838944,-6.747526146290479,0,-0.022729851369889316,1.3334492867923746
E38000091,Cheshire and Merseyside ICB - 01J ,121.1221825,6.6274999999999995,1.214481068511742,-8.087250429974823,0,0.24849220756405913,0.3326388638749846
E38000097,"Leicester, Leicestershire and Rutland ICB - 04C ",85.14332375000001,8.4175,1.250388761023541,-7.862316255382858,1,1.851443144677481,-1.5858573587790046
E38000101,Cheshire and Merseyside ICB - 99A ,106.82031125,7.4975,1.2106931986329317,-10.89658795902107,1,0.13754937865858186,-0.9723933001652453
E38000106,Mid and South Essex ICB - 06Q ,129.68233,9.54,1.2317354374048866,-10.21244936234622,3,1.2443029667138008,0.127126271815141
E38000117,Suffolk and North East Essex ICB - 06T ,139.0027975,8.342500000000001,1.2423585507557324,-6.507000315616622,3,1.5363133520297523,1.357920796502961
E38000119,Humber and North Yorkshire ICB - 03H ,129.7785,8.515,1.1716550146077616,-9.510815693458872,3,-0.07566855208977163,0.6347899146324005
E38000122,Humber and North Yorkshire ICB - 03K ,123.629865,9.052499999999998,1.1416641439765307,-9.66103835371,0,-0.37366004885112253,0.45853800302998987
E38000126,Staffordshire and Stoke-on-Trent ICB - 05G ,139.552835,6.2675,1.157180610625062,-7.865349875463962,0,-0.9782740365380512,1.5916658605760328
E38000127,North East and North Cumbria ICB - 99C ,128.03526,6.234999999999999,1.127386378175039,-10.119032983566273,0,-1.8129965228001719,0.7031467542731413
E38000130,North East and North Cumbria ICB - 00L,145.31954000000002,6.1899999999999995,1.1323251173675768,-8.650827636839162,0,-1.6150502894421401,1.8346070115430457
E38000135,Greater Manchester ICB - 00Y ,115.1301275,5.5825,1.181906156250025,-11.070822591662791,2,-1.1867070906532329,-0.41496738816128864
E38000136,"Buckinghamshire, Oxfordshire and Berkshire West ICB - 10Q ",91.62677725,9.9475,1.187840751826116,-9.37183703182494,1,1.0474066858131308,-1.2926965219410216
E38000137,Hampshire and Isle Of Wight ICB - 10R ,93.80368725,9.6125,1.1852071438159624,-7.036716174722342,1,1.2561732352174673,-0.6526345160030935
E38000141,South Yorkshire ICB - 03L ,122.11458,6.18,1.1957202322924103,-10.243793513194523,0,-0.6247761823762363,0.01710638349820849
E38000143,Greater Manchester ICB - 01G ,99.74381575,8.8625,1.1304989457835193,-15.625024809155336,2,-1.4910862047718676,-1.9427235702873649
E38000146,South Yorkshire ICB - 03N ,99.49169775,8.262500000000001,1.1346205608007804,-7.984877611073851,1,-0.3441589523851387,-0.2838560386280281
E38000150,Somerset ICB - 11X ,111.715792,4.2675,1.194844977045992,-9.453905311129292,0,-1.1665818821855767,-0.2691061946100642
E38000153,Staffordshire and Stoke-on-Trent ICB - 05Q ,126.6062025,9.32,1.1817670594387368,-8.90706405320216,3,0.5346736238473232,0.5436272476572325
E38000161,Cheshire and Merseyside ICB - 01T ,111.03076325,8.1,1.2376425725914963,-13.454568530475806,2,0.3717694958577062,-1.491382459371225
E38000163,North East and North Cumbria ICB - 00N ,127.9459375,6.0925,1.1384693689008545,-8.84162435703741,0,-1.4562338265924917,0.9221850349538806
E38000168,Mid and South Essex ICB - 99G ,121.107195,11.825,1.2621267117290655,-11.72253292440917,3,2.4529688663315286,-0.8298572754721322
E38000170,Cheshire and Merseyside ICB - 01V ,137.63877,7.53,1.1757618376278167,-10.2673467281247,0,-0.5666632779848505,0.8443338825196713
E38000172,Cheshire and Merseyside ICB - 01X ,120.911575,6.39,1.176485745833122,-10.735730541029405,0,-0.9543563553000818,-0.048115955971206936
E38000173,Staffordshire and Stoke-on-Trent ICB - 05V ,135.5468075,7.895,1.2178596062621525,-8.438989690463632,3,0.6327265951513774,0.9084709925355076
E38000174,Greater Manchester ICB - 01W ,129.1073125,7.615,1.187760613236422,-12.512620915143394,2,-0.6485389396136508,-0.12909267996023094
E38000175,Staffordshire and Stoke-on-Trent ICB - 05W ,137.2461975,5.5375,1.1871972824137575,-4.581049928488552,0,-0.15958266994990156,2.05329289736093
E38000176,North East and North Cumbria ICB - 00P ,137.4857,6.6899999999999995,1.136820219903225,-5.372436477007268,0,-0.7304165055199553,2.143867256866175
E38000185,Mid and South Essex ICB - 07G ,116.65243,6.245,1.2774822465268998,-5.211927170798691,1,1.7199635979788641,0.4126229461681176
E38000187,Greater Manchester ICB - 02A ,113.064545,8.6275,1.1536860676341865,-10.973317950745807,2,-0.4774662430800837,-0.39790959615438287
E38000188,Humber and North Yorkshire ICB - 03Q ,105.82383125,4.6875,1.1613892673149018,-11.253809047242612,2,-1.85330575073838,-0.7749034611684892
E38000190,West Yorkshire ICB - 03R ,124.622665,6.3725000000000005,1.1868123750017,-8.714901664146623,0,-0.462556892721192,0.5197579640524104
E38000194,Cheshire and Merseyside ICB - 02E ,107.046154,6.535,1.2296568913823245,-14.27754121617632,2,-0.4805811624660587,-1.7908631663391186
E38000197,Hertfordshire and West Essex ICB - 07H ,127.4125375,8.775,1.2510264549526078,-6.943896781284097,3,1.859970840989009,0.6464197470312442
E38000200,Lancashire and South Cumbria ICB - 02G ,116.3208825,8.035,1.1323392727324555,-10.176217218081558,0,-0.9632433643521047,0.06303976532494783
E38000201,"Leicester, Leicestershire and Rutland ICB - 04V ",114.056625,10.415,1.199788076568237,-8.388170230274307,3,1.4453020008946662,-0.06779038813660415
E38000204,Suffolk and North East Essex ICB - 07K ,151.8046825,9.19,1.2023257249533796,-4.891980388930291,3,1.3508936438017216,2.534023125098562
E38000205,Greater Manchester ICB - 02H ,123.12256,8.385000000000002,1.1770724836720747,-10.748065102032015,3,-0.19575516084922615,0.013989472980687331
E38000208,Cheshire and Merseyside ICB - 12F ,135.905455,9.6975,1.189293736253531,-7.577945548695769,3,0.9721665003225424,1.2366428188613598
E38000212,North East and North Cumbria ICB - 13T ,109.50688,7.435,1.1204103442996034,-9.40211302364977,0,-1.2212877053618436,-0.01858731449754602
E38000215,North East and North Cumbria ICB - 01H ,134.15473,7.4925,1.1521291511096328,-5.934254218422104,0,-0.22839730261536217,1.7600681945008587
E38000217,Greater Manchester ICB - 14L ,97.096197,7.4125,1.1766429021081295,-14.227826969638327,2,-0.9878633443637777,-1.987252151452743
E38000221,"Buckinghamshire, Oxfordshire and Berkshire West ICB - 15A ",93.1916495,8.5975,1.2253947831272187,-8.52077975452168,1,1.3167950989853352,-1.2090489190922924
E38000222,"Bristol, North Somerset and South Gloucestershire ICB - 15C ",89.15955925,8.62,1.1814612264605826,-9.277014258404645,1,0.46017507187633,-1.3302716196814466
E38000223,"Buckinghamshire, Oxfordshire and Berkshire West ICB - 14Y ",110.03163275,7.81,1.1817697176433226,-9.104854086460122,1,0.037470024508427305,-0.2707609899081324
E38000225,West Yorkshire ICB - 15F ,99.75325575,6.6049999999999995,1.1797490030473043,-10.333072101722388,2,-0.5978544764665674,-1.0028975160135338
E38000226,Lancashire and South Cumbria ICB - 02M ,135.4274525,8.5675,1.1581073649528115,-10.269112419899836,0,-0.4602950756100809,0.8136480389452179
E38000227,Lancashire and South Cumbria ICB - 01E ,133.7061725,8.7275,1.2473469776742605,-10.92561484678206,3,1.0540550334021468,0.09473236802923286
E38000228,Lancashire and South Cumbria ICB - 01K ,120.1161225,9.2,1.1686581053482428,-10.112489858143467,3,0.10031239301994173,0.03899557970014002
E38000230,Devon ICB - 15N ,114.8233425,8.217500000000001,1.184476806685423,-9.010778960991512,1,0.22347683047143932,-0.04144934804277545
E38000231,"Bath and North East Somerset, Swindon and Wiltshire ICB - 92G ",110.332245,9.205,1.1878045120542196,-6.2006701163906675,1,1.1716120383898654,0.3230177798709056
E38000232,West Yorkshire ICB - 36J ,119.754565,5.24,1.1576881059567354,-8.964240312168933,0,-1.4125878310035562,0.4111601956770959
E38000233,Cheshire and Merseyside ICB - 27D ,113.653555,6.78,1.198016741149996,-11.010607180338512,2,-0.42593102921686665,-0.5843573430226829
E38000234,North East and North Cumbria ICB - 84H ,145.3457525,6.855,1.1233893644740731,-8.634223869759824,0,-1.512556959741687,1.8755103352753952
E38000235,Sussex ICB - 97R ,126.0334025,7.727499999999999,1.216825219272315,-8.1400526454876,3,0.6681751574306919,0.5239363185730888
E38000236,Herefordshire and Worcestershire ICB - 18C ,129.3529725,7.477499999999999,1.1830181544967535,-9.79762042734654,0,-0.32225824697299177,0.509073667372466
E38000237,Kent and Medway ICB - 91Q ,111.98938475,7.625,1.230391734890386,-8.886332695829768,1,0.83607191724161,-0.3905467583891771
E38000238,Lincolnshire ICB - 71E ,148.97995500000002,12.0125,1.1902153664647976,-8.779209294971531,3,1.5803490241295937,1.5533986305919982
E38000239,Norfolk and Waveney ICB - 26A ,135.201455,10.32,1.1629873413408065,-7.644131667448126,3,0.7470668402522115,1.3199217213147831
E38000240,North Central London ICB - 93C ,74.851168,8.844999999999999,1.2110546487821083,-6.573492289679611,1,1.6232818659763886,-1.5920877717154487
E38000241,Humber and North Yorkshire ICB - 42D ,122.1663475,5.9725,1.159434611405265,-9.354403308095584,0,-1.1844467662333635,0.4179295832258725
E38000243,Nottingham and Nottinghamshire ICB - 52R ,107.171273,7.709999999999999,1.2000452526093897,-9.453516387360732,1,0.27765758706526406,-0.5836369336406698
E38000244,South East London ICB - 72Q ,81.14111125,8.432500000000001,1.1962778350854504,-7.163049246353107,1,1.0630217451154853,-1.3293937071041664
E38000245,South West London ICB - 36L ,87.4741765,7.7125,1.205085369243729,-9.664129232351874,1,0.4685775600190046,-1.608486049873136
E38000246,Surrey Heartlands  ICB - 92A ,101.30971025,7.8225,1.205055147458424,-9.410340734113571,1,0.45652529729369545,-0.8866841066249942
E38000247,North East and North Cumbria ICB - 16C ,134.75972000000002,7.8525,1.116302911952327,-10.451142843416015,0,-1.4886549673245684,0.9839059030521279
E38000248,Sussex ICB - 70F ,119.31189,10.095,1.2076921336878794,-7.8830561070429646,3,1.5093008364154088,0.26007064408251535
E38000249,"Bedfordshire, Luton and Milton Keynes ICB - M1J4Y ",106.55369525,8.7425,1.2264796605625363,-7.295275774918389,1,1.5067340968129894,-0.30296445980535935
E38000251,Coventry and Warwickshire ICB - B2M3M ,113.10158,7.83,1.2054629099116576,-8.762355857779271,1,0.49434769342816665,-0.17716539712934004
E38000252,Frimley ICB - D4U1Y ,91.69624075,8.065000000000001,1.2362561700611578,-10.95333303054284,1,0.8967037679904837,-1.8658424467306143
E38000253,Hampshire and Isle Of Wight ICB - D9Y0V ,105.75579225,8.9075,1.181893131580101,-8.722573768511614,1,0.5562557666584191,-0.4149833078787329
E38000254,West Yorkshire ICB - X2C4Y ,129.371225,5.44,1.171745467865119,-9.525507671560408,0,-1.2544345797447842,0.6710548723833049
E38000255,North East London ICB - A3A8R ,79.99094575000001,8.752500000000001,1.23471070791063,-6.097837102123124,1,2.0445188020016083,-1.366873062393757
E38000256,North West London ICB - W2U3Z ,74.59385725,7.725,1.2440057118859948,-7.559455147986473,1,1.6001763034226353,-1.980098004828886
E38000257,"Shropshire, Telford and Wrekin ICB - M2L0M ",120.82831,6.7,1.164789880043558,-8.09836928227744,0,-0.588190617874842,0.5864374544156985
E38000258,Birmingham and Solihull ICB - 15E ,106.1147285,7.279999999999999,1.2132645686899153,-6.931048855952375,1,0.7804646375831787,-0.14330557431936886
E38000259,Black Country ICB - D2P2L ,111.17655275,6.232500000000001,1.2119037296050663,-9.49353538061374,1,-0.11822941471386125,-0.4353041762789658
E38000260,Cambridgeshire and Peterborough ICB - 06H ,113.7640875,9.8275,1.200588707899851,-7.451569047721575,3,1.395541416039159,0.13129394886888904
E38000261,Derby and Derbyshire ICB - 15M ,107.35934825,8.355,1.1749379443297086,-9.55850830697213,1,0.06918135334258711,-0.47283288355190306
E38000262,Northamptonshire ICB - 78H ,110.59766525,7.694999999999999,1.1591467190250626,-7.994645649515868,0,-0.21486311213511286,0.12696327539132243
E38000263,Greater Manchester ICB - 01Y ,109.8396095,6.215,1.1769314134053923,-11.018517554645054,2,-0.9843708527000674,-0.6439043120681123
