Area Code,Area Name,Qty_Mean_Current,Quality_Mean_Current,Seasonality,Quantity_Trend,Cluster,PC1,PC2,SUB_ICB_Code,Driver_GP_Density,Driver_Elderly_Pct,Driver_chinldren_Pct,Driver_COPD_Prevalence,Driver_Minority_Pct,Driver_IMD_Score
E38000006,South Yorkshire ICB - 02P ,126.37508,5.2700000000000005,1.1568395557724007,-7.183323194808578,0,-1.158365922876305,1.126882048797646,02P,0.6381725677228213,0.19636201094204264,0.16570434320038124,3.39955,3.123377287130737,29.11
E38000007,Mid and South Essex ICB - 99E ,115.4992825,7.675000000000001,1.2672482472639002,-10.736861162014298,1,1.156191715740963,-0.831091306851281,99E,0.464471893265311,0.17819890091612953,0.18261492350878622,1.74082,12.20778631839104,18.08
E38000008,Nottingham and Nottinghamshire ICB - 02Q ,133.8631925,6.8825,1.15323693031756,-10.075656135723127,0,-1.1480371611754183,0.8400562333635646,02Q,0.5815400289744896,0.218793839884008,0.1595517065715741,2.9946,3.5549971987844424,22.865
E38000014,Lancashire and South Cumbria ICB - 00Q ,119.965815,5.79,1.1681581218400257,-12.869690758682944,2,-1.687176987874872,-0.5063571931681303,00Q,0.5311656906639614,0.14492885175000667,0.1951517740342259,2.03847,39.64676002817647,25.813
E38000015,Lancashire and South Cumbria ICB - 00R ,119.02161,8.585,1.1342434796914964,-12.737458795868342,2,-1.1749605229834852,-0.3915181762932622,00R,0.6160123601608309,0.20646674484838332,0.15574356396939745,3.90359,5.304657973295894,25.813
E38000016,Greater Manchester ICB - 00T ,107.65132125,5.9625,1.210105096495746,-12.396732507397518,2,-0.7239045759721063,-1.2295310641453976,00T,0.6843442905975725,0.16358153421451396,0.19032301621832476,2.37255,28.05147940789896,29.6
E38000021,Sussex ICB - 09D ,86.7454205,9.105,1.1609864578215645,-6.36851666375971,1,0.803395495297535,-0.7039192668403507,09D,0.5378224715528039,0.13547254169838122,0.12102569327491865,1.62438,14.626074969054606,17.741
E38000024,Greater Manchester ICB - 00V ,95.7792135,5.5725,1.0928224869308003,-21.45159634252404,2,-4.376450309097637,-3.1468688309187183,00V,0.5424523612773512,0.18030201010467234,0.1757770380031736,2.05169,17.09492537929398,29.6
E38000025,West Yorkshire ICB - 02T ,122.0999875,5.49,1.0726239617252007,-9.82511924216757,0,-2.960179706495291,0.7953646089863805,02T,0.6901004531197331,0.19180992424645626,0.16673319495449465,2.23022,13.936933187506654,27.808
E38000028,Staffordshire and Stoke-on-Trent ICB - 04Y ,149.82414749999998,7.3625,1.2205924157796724,-8.177360489965825,3,0.4202954813953007,1.6506760484842613,04Y,0.494328765130289,0.20809182618614766,0.1624211314297936,2.68361,3.4816516446213273,20.392
E38000030,Mid and South Essex ICB - 99F ,139.774235,10.475,1.246188689881883,-10.204826785993754,3,1.785307481896964,0.5187769862340221,99F,0.5823257450447528,0.24151079863640956,0.1541112464301479,2.24029,4.650008274036075,18.08
E38000034,Lancashire and South Cumbria ICB - 00X ,127.281985,7.83,1.196976554830112,-9.410272240199106,3,0.1366142250999671,0.4111723615799967,00X,0.6090082998404939,0.20938289762605128,0.1610546049633343,2.1431,4.265262262419127,25.813
E38000044,South Yorkshire ICB - 02X ,118.160235,5.9825,1.1771098160031717,-9.442159331168511,0,-0.8599062880677127,0.1083308307363853,02X,0.5954983150800809,0.1909178795220495,0.17047176095401465,3.08748,6.865169779231822,29.11
E38000045,Dorset ICB - 11J ,123.3573325,8.035,1.1769623571139023,-8.964488888682249,0,-0.0293331067980083,0.425362126632536,11J,0.6267166321059874,0.25149185811678876,0.13826793171432208,2.17426,5.879908794086492,16.905
E38000049,Hertfordshire and West Essex ICB - 06K ,111.26411225,9.35,1.2278110444556167,-10.592872660703092,1,1.1673653650281357,-0.8205934487719404,06K,0.5805203525597172,0.17470358098756947,0.16973515382893603,1.5541,15.111273653744528,13.522
E38000050,Lancashire and South Cumbria ICB - 01A ,112.8813525,5.995,1.1430784360537112,-12.44986000618808,2,-1.9235288914291215,-0.6227071437616539,01A,0.5494668036607363,0.18617570460264732,0.17776465161008448,2.45114,16.87408175611442,25.813
E38000051,"Leicester, Leicestershire and Rutland ICB - 03W ",112.3658425,9.7875,1.2070111976523146,-7.309100837171159,3,1.526064625779215,0.0607997704971394,03W,0.6955831495947002,0.22769464649322835,0.16061352552472577,1.74408,14.667234456746565,19.793
E38000052,Humber and North Yorkshire ICB - 02Y ,132.9374875,4.8100000000000005,1.1762817881437877,-4.723903104155543,0,-0.6230068176530833,1.887672127962921,02Y,0.6495033509768904,0.2715982380633843,0.140421678383461,2.76941,2.624233851956624,20.858
E38000053,Staffordshire and Stoke-on-Trent ICB - 05D ,128.78426000000002,11.0525,1.169127023467669,-8.159219674428487,3,1.0922809351714668,0.8489438424148126,05D,0.5884658400785066,0.19576764130533353,0.16922309595678253,1.67434,12.958236917880075,20.392
E38000062,Gloucestershire ICB - 11M ,111.970445,8.3825,1.1750125424026936,-8.2425962038383,1,0.2732509787051866,0.0385152617958674,11M,0.6479782711261575,0.21788632631059254,0.15781519209261555,1.90635,6.939770167684889,15.146
